Municipio,Nombre,Título,Telefono,Correo electrónico,Dirección,Ubicación
Abejorral,JULIÁN ANDRÉS MUÑOZ LÓPEZ,Alcalde,8647611-8647384 Ext 102 - 8647182-8647004),alcalde@abejorral-antioquia.gov.co;,,POINT (-75.426616 5.791612)
Abriaquí,HÉCTOR WILLIAM URREGO QUIRÓS,Alcalde,8520024-8520086-8520019-8520120,alcaldia@abriaqui-antioquia.gov.co;,,POINT (-76.064563 6.63197)
Alejandría,SOR MARÍA OCAMPO GIRALDO,Alcaldesa,8660102-8660016-866 0140-8660133,alcaldia@alejandria-antioquia.gov.co;,,POINT (-75.141258 6.376923)
Amagá,LEONARDO DE JESÚS MOLINA RODAS,Alcalde,8472122-8474920-8470126,alcaldia@amaga-antioquia.gov.co;,,POINT (-75.703216 6.04063)
Amalfi,FEDERICO GIL JARAMILLO,Alcalde,8301919 - 8300155,alcaldia@amalfi-antioquia.gov.co;,,POINT (-75.074896 6.90831)
Andes,CARLOS ALBERTO OSORIO CALDERÓN,Alcalde,8414101-8414619-8414291-8414652,alcaldia@andes-antioquia.gov.co;,,POINT (-75.875837 5.655113)
Angelópolis,JAIME ALBERTO GÓMEZ GÓMEZ,Alcalde,8421948-8421793,alcaldia@angelopolis-antioquia.gov.co;,,POINT (-75.710054 6.111382)
Angostura,GREGORIO DE JESÚS GUTIÉRREZ GONZÁLEZ,Alcalde,8645161-8645046-8645162,alcaldia@angostura-antioquia.gov.co;,,POINT (-75.334973 6.885789)
Anorí,JUAN CAMILO PIEDRAHITA CEBALLOS,Alcalde,8350842-8350404-8350449-8350849,alcaldia@anori-antioquia.gov.co;,,POINT (-75.146359 7.074021)
Anzá,ANDRÉS FELIPE HOLGUÍN MÚNERA,Alcalde,8522082-8522042-8522102,alcaldia@anza-antioquia.gov.co;,,POINT (-75.857772 6.306564)
Apartadó,FELIPE BENICIO CAÑIZALEZ PALACIOS,Alcalde,8280457-8281038-8282188,alcaldia@apartado.gov.co;contactenos@apartado.gov.co;,,POINT (-76.630799 7.887281)
Arboletes,DIANA STELLA GARRIDO HENAO,Alcaldesa,8200367-8200973-8201289-8200130,alcaldia@arboletes-antioquia.gov.co;,,POINT (-76.426578 8.853354)
Argelia,EDWIN QUINTERO LÓPEZ,Alcalde,8650077-8650106-8650405-8650057,alcaldia@argelia-antioquia.gov.co;,,POINT (-75.142373 5.731108)
Armenia,GUILLERMO LEÓN MOLINA MESA,Alcalde,8559015-8559064,alcaldia@armenia-antioquia.gov.co;,,POINT (-75.787762 6.15675)
Barbosa,ÉDGAR AUGUSTO GALLEGO ARIAS,Alcalde,4548300-4548311-4548311-4065441-4065441,alcaldia@barbosa.gov.co;,,POINT (-75.324471 6.444177)
Bello,ÓSCAR ANDRÉS PÉREZ MUÑOZ,Alcalde,604 79 44,contactenos@bello.gov.co;,,POINT (-75.558461 6.335256)
Belmira,FRANCISCO LUIS AGUILAR GÓMEZ,Alcalde,8674030,alcaldia@belmira-antioquia.gov.co;,,POINT (-75.667024 6.606213)
Betania,CARLOS MARIO VILLADA URIBE,Alcalde,8435127 Ext 105- 8435180,alcaldia@betania-antioquia.gov.co;,,POINT (-75.976711 5.745726)
Betulia,JUAN MANUEL LEMA HURTADO,Alcalde,8436093-8436157-8430631,alcaldia@betulia-antioquia.gov.co;,,POINT (-75.984232 6.11329)
Briceño,WILMAR MORENO MONSALVE,Alcalde,8570051-8570140,alcaldia@briceno-antioquia.gov.co;,,POINT (-75.551532 7.110465)
Buriticá,LUIS HERNANDO GRACIANO ZAPATA,Alcalde,8527015-8527041,alcaldia@buritica-antioquia.gov.co;,,POINT (-75.907102 6.719872)
Cáceres,JUAN CARLOS RODRÍGUEZ BLANCO,Alcalde,8362201-8362203-8362202,alcaldia@caceres-antioquia.gov.co;,,POINT (-75.347697 7.582521)
Caicedo,MIGUEL ALFONSO MARTÍNEZ GAVIRIA,Alcalde,8572002 Ext 103 - 8572134,alcaldia@caicedo-antioquia.gov.co;,,POINT (-75.982241 6.405649)
Caldas,MAURICIO CANO CARMONA,Alcalde,3788500 - 3788504 - 3788515 - 3788502,alcaldia@caldasantioquia.gov.co;,,POINT (-75.634928 6.091947)
Campamento,JUAN PABLO TORRES PIEDRAHITA,Alcalde,8614020-8614055-8614229,alcaldia@campamento-antioquia.gov.co;,,POINT (-75.29634 6.979113)
